IssueColSuccess,IssueColFail,IssueHTLCSuccesss,IssueHTLCFail,TradeSuccess,TradeFail,RedeemSuccess,RedeemFail,ReplaceSuccess,ReplaceFail
157651,82550,181654,91120,199563,109303,180597,154172,133199,117067
0.180195093,0.09435464999999998,0.20763052199999998,0.10415015999999999,0.22810050899999998,0.124933329,0.20642237099999997,0.176218596,0.15224645699999997,0.133807581
2,2,2,2,2,1,2,2,3,3
